DepTime,ArrDelay,DayOfWeek,FlightNum,Origin,Dest,DepHour,IsWeekend
860.0,31.0,5,1615,ORD,SEA,8.0,0
1294.0,1.0,4,293,JFK,SEA,12.0,0
1130.0,-2.0,4,1285,ORD,BOS,11.0,0
1095.0,18.0,4,446,DFW,BOS,10.0,0
1638.0,-1.0,5,1050,LAX,MIA,16.0,0
2169.0,113.0,7,1484,ATL,MIA,21.0,1
466.0,-12.0,6,1892,DFW,SFO,4.0,1
1238.0,-13.0,4,1707,JFK,SEA,12.0,0
330.0,-30.0,2,1210,ATL,SEA,3.0,0
1482.0,47.0,5,1385,LAX,BOS,14.0,0
2135.0,84.0,4,313,DFW,SFO,21.0,0
130.0,82.0,7,1788,ATL,SEA,1.0,1
1685.0,83.0,6,1845,DFW,SFO,16.0,1
769.0,32.0,5,672,DFW,SFO,7.0,0
2391.0,101.0,3,879,LAX,BOS,23.0,0
1515.0,98.0,6,361,ORD,SFO,15.0,1
1215.0,-23.0,2,829,ATL,MIA,12.0,0
955.0,24.0,4,382,LAX,MIA,9.0,0
2324.0,72.0,7,1771,DFW,DEN,23.0,1
1184.0,100.0,3,1590,LAX,BOS,11.0,0
459.0,1.0,7,1503,ORD,DEN,4.0,1
21.0,-21.0,3,461,ATL,MIA,0.0,0
2300.0,79.0,5,1572,ORD,DEN,23.0,0
747.0,93.0,3,540,JFK,BOS,7.0,0
474.0,56.0,2,192,ATL,BOS,4.0,0
1082.0,24.0,2,1744,ORD,SFO,10.0,0
2047.0,1.0,1,852,DFW,SEA,20.0,0
975.0,104.0,2,966,ATL,SFO,9.0,0
1806.0,62.0,6,1547,ATL,BOS,18.0,1
189.0,-23.0,3,241,LAX,MIA,1.0,0
562.0,34.0,2,1414,DFW,MIA,5.0,0
1899.0,26.0,5,1555,JFK,SFO,18.0,0
1267.0,36.0,7,848,ORD,BOS,12.0,1
1528.0,41.0,7,1975,LAX,MIA,15.0,1
646.0,23.0,1,1947,ORD,BOS,6.0,0
2068.0,36.0,7,1812,JFK,MIA,20.0,1
2214.0,20.0,3,752,JFK,BOS,22.0,0
1297.0,66.0,1,800,ATL,DEN,12.0,0
600.0,61.0,3,1097,JFK,BOS,6.0,0
2363.0,-23.0,5,148,ORD,BOS,23.0,0
2061.0,4.0,1,1425,DFW,SFO,20.0,0
241.0,65.0,4,980,DFW,DEN,2.0,0
1363.0,47.0,6,1259,ORD,SFO,13.0,1
2139.0,1.0,3,654,ORD,SEA,21.0,0
1390.0,89.0,7,503,JFK,MIA,13.0,1
1478.0,15.0,4,991,ORD,SEA,14.0,0
775.0,113.0,1,964,LAX,BOS,7.0,0
34.0,111.0,4,701,JFK,SEA,0.0,0
2253.0,24.0,4,1930,LAX,SFO,22.0,0
1955.0,-24.0,7,440,ATL,SFO,19.0,1
1585.0,43.0,1,1880,DFW,SEA,15.0,0
1021.0,-24.0,5,803,ATL,SFO,10.0,0
1129.0,54.0,7,417,DFW,SFO,11.0,1
702.0,81.0,4,1486,ORD,DEN,7.0,0
1579.0,94.0,5,1945,LAX,DEN,15.0,0
161.0,116.0,4,481,DFW,MIA,1.0,0
201.0,5.0,4,332,JFK,SFO,2.0,0
1981.0,-2.0,4,1900,LAX,SEA,19.0,0
995.0,51.0,6,1467,JFK,SFO,9.0,1
2317.0,-29.0,7,1672,LAX,BOS,23.0,1
815.0,98.0,2,916,LAX,SFO,8.0,0
455.0,16.0,7,652,ATL,SFO,4.0,1
1275.0,117.0,5,1652,DFW,DEN,12.0,0
1016.0,-20.0,4,955,DFW,SEA,10.0,0
2343.0,99.0,7,1912,LAX,SFO,23.0,1
337.0,88.0,6,918,ORD,DEN,3.0,1
878.0,109.0,5,1694,ORD,MIA,8.0,0
1076.0,-11.0,3,282,JFK,DEN,10.0,0
791.0,-26.0,7,1164,JFK,DEN,7.0,1
763.0,106.0,4,496,LAX,SFO,7.0,0
2235.0,22.0,6,1827,JFK,SFO,22.0,1
379.0,68.0,6,878,JFK,MIA,3.0,1
1180.0,77.0,5,1782,ATL,BOS,11.0,0
2062.0,-7.0,5,1006,JFK,BOS,20.0,0
64.0,50.0,6,1456,ATL,MIA,0.0,1
1367.0,89.0,5,226,DFW,BOS,13.0,0
1152.0,28.0,6,1681,ATL,BOS,11.0,1
2027.0,97.0,7,1680,ORD,DEN,20.0,1
1495.0,83.0,2,100,ORD,SFO,14.0,0
1162.0,84.0,6,1291,ATL,SFO,11.0,1
1522.0,-17.0,3,1743,ORD,DEN,15.0,0
391.0,-22.0,5,118,DFW,DEN,3.0,0
1698.0,9.0,6,1455,LAX,DEN,16.0,1
2336.0,72.0,7,555,ORD,BOS,23.0,1
378.0,-9.0,5,1056,ATL,DEN,3.0,0
1796.0,-27.0,2,1232,DFW,MIA,17.0,0
2278.0,-2.0,7,1391,LAX,DEN,22.0,1
2088.0,78.0,2,544,ATL,SEA,20.0,0
2182.0,67.0,7,1363,ATL,DEN,21.0,1
200.0,6.0,5,1424,DFW,SFO,2.0,0
1863.0,44.0,1,701,LAX,DEN,18.0,0
779.0,39.0,5,202,DFW,SEA,7.0,0
502.0,115.0,5,1087,LAX,MIA,5.0,0
1751.0,97.0,2,1373,DFW,BOS,17.0,0
804.0,54.0,2,1576,ATL,DEN,8.0,0
2146.0,11.0,5,619,ATL,SEA,21.0,0
1895.0,69.0,5,1276,JFK,SEA,18.0,0
1570.0,10.0,5,958,ORD,MIA,15.0,0
960.0,3.0,2,273,DFW,SFO,9.0,0
1485.0,-14.0,5,1466,JFK,DEN,14.0,0
1028.0,91.0,5,1793,ORD,SEA,10.0,0
502.0,45.0,4,1104,DFW,MIA,5.0,0
397.0,56.0,1,530,LAX,BOS,3.0,0
870.0,86.0,3,826,ORD,SEA,8.0,0
392.0,75.0,1,1812,ATL,MIA,3.0,0
206.0,55.0,4,1810,JFK,SFO,2.0,0
1038.0,-4.0,3,1975,ORD,SFO,10.0,0
1881.0,26.0,7,949,ORD,SEA,18.0,1
1484.0,0.0,5,1781,ATL,SEA,14.0,0
563.0,67.0,7,1089,LAX,MIA,5.0,1
1020.0,-19.0,5,1796,ATL,SEA,10.0,0
95.0,22.0,2,738,LAX,DEN,0.0,0
1923.0,107.0,6,519,DFW,DEN,19.0,1
2278.0,91.0,2,584,LAX,SFO,22.0,0
1678.0,15.0,4,1782,JFK,MIA,16.0,0
540.0,33.0,4,1874,JFK,MIA,5.0,0
1059.0,99.0,2,511,ATL,SFO,10.0,0
1183.0,23.0,3,1035,DFW,SEA,11.0,0
1722.0,76.0,1,1207,ATL,MIA,17.0,0
1819.0,20.0,5,1236,ATL,SEA,18.0,0
1597.0,5.0,4,1860,ATL,SEA,15.0,0
795.0,84.0,5,431,JFK,DEN,7.0,0
1051.0,-5.0,6,1501,JFK,SFO,10.0,1
1643.0,-2.0,2,1878,ATL,SEA,16.0,0
1981.0,-20.0,2,140,DFW,SFO,19.0,0
1663.0,-20.0,1,1058,JFK,DEN,16.0,0
1529.0,82.0,1,1920,LAX,MIA,15.0,0
2038.0,8.0,1,204,ATL,MIA,20.0,0
1496.0,23.0,1,301,ATL,SFO,14.0,0
2237.0,67.0,1,549,DFW,MIA,22.0,0
1408.0,24.0,1,1942,ORD,SEA,14.0,0
1400.0,80.0,2,1966,ORD,MIA,14.0,0
1306.0,119.0,4,1389,DFW,DEN,13.0,0
972.0,38.0,5,1009,DFW,DEN,9.0,0
1768.0,25.0,1,309,DFW,BOS,17.0,0
1282.0,2.0,2,662,ORD,DEN,12.0,0
709.0,5.0,2,1241,DFW,MIA,7.0,0
1479.0,117.0,2,812,JFK,DEN,14.0,0
1434.0,50.0,4,1500,ATL,SFO,14.0,0
648.0,78.0,5,1674,ATL,DEN,6.0,0
317.0,42.0,4,1663,LAX,SEA,3.0,0
1257.0,9.0,3,870,LAX,SFO,12.0,0
683.0,-14.0,7,1207,ATL,BOS,6.0,1
663.0,98.0,2,553,JFK,SEA,6.0,0
1998.0,30.0,3,766,ORD,MIA,19.0,0
1631.0,73.0,6,728,ORD,MIA,16.0,1
1495.0,11.0,1,1637,JFK,MIA,14.0,0
1136.0,-6.0,7,1728,ORD,SEA,11.0,1
1853.0,8.0,1,1801,DFW,SEA,18.0,0
1520.0,4.0,4,486,ATL,SEA,15.0,0
563.0,100.0,7,1473,ATL,SFO,5.0,1
1291.0,77.0,5,395,JFK,SFO,12.0,0
1636.0,71.0,3,357,ORD,MIA,16.0,0
698.0,67.0,5,1204,LAX,DEN,6.0,0
2160.0,-19.0,4,367,LAX,MIA,21.0,0
1.0,-12.0,1,518,ORD,BOS,0.0,0
641.0,70.0,7,334,LAX,SFO,6.0,1
2267.0,13.0,5,1956,JFK,SEA,22.0,0
1589.0,18.0,5,1434,JFK,SFO,15.0,0
854.0,-14.0,1,1936,ORD,SEA,8.0,0
1759.0,43.0,7,1085,LAX,BOS,17.0,1
1661.0,26.0,3,1480,JFK,BOS,16.0,0
1153.0,24.0,1,1336,JFK,SFO,11.0,0
1076.0,16.0,5,673,DFW,SEA,10.0,0
1707.0,-19.0,3,148,DFW,BOS,17.0,0
1695.0,31.0,3,1250,JFK,MIA,16.0,0
1733.0,49.0,1,322,ORD,MIA,17.0,0
1439.0,52.0,5,1020,ATL,SEA,14.0,0
2294.0,-23.0,4,1402,ATL,SFO,22.0,0
835.0,118.0,5,1531,JFK,BOS,8.0,0
202.0,50.0,2,1628,JFK,SFO,2.0,0
122.0,87.0,7,1417,JFK,MIA,1.0,1
400.0,-6.0,6,1919,ORD,BOS,4.0,1
766.0,58.0,4,376,DFW,SFO,7.0,0
293.0,-19.0,3,1561,JFK,DEN,2.0,0
2327.0,112.0,4,1230,JFK,SEA,23.0,0
197.0,28.0,7,1781,LAX,SEA,1.0,1
1930.0,78.0,3,519,ORD,DEN,19.0,0
2191.0,-5.0,7,710,JFK,MIA,21.0,1
608.0,16.0,3,1552,LAX,BOS,6.0,0
1147.0,1.0,4,474,ATL,SEA,11.0,0
186.0,-21.0,3,172,JFK,DEN,1.0,0
1794.0,-15.0,3,1757,JFK,DEN,17.0,0
659.0,114.0,2,1153,LAX,MIA,6.0,0
1955.0,-5.0,5,1311,ORD,MIA,19.0,0
1369.0,55.0,5,1487,JFK,SFO,13.0,0
1986.0,104.0,6,1989,ATL,SEA,19.0,1
1534.0,-17.0,6,1923,JFK,SFO,15.0,1
146.0,48.0,2,1574,ATL,DEN,1.0,0
1734.0,86.0,6,294,DFW,BOS,17.0,1
1843.0,-24.0,7,1279,DFW,BOS,18.0,1
488.0,106.0,4,1295,ATL,MIA,4.0,0
1959.0,84.0,1,946,ORD,BOS,19.0,0
1663.0,41.0,7,1164,JFK,BOS,16.0,1
2385.0,28.0,1,1186,JFK,BOS,23.0,0
640.0,51.0,1,122,DFW,DEN,6.0,0
1802.0,85.0,2,459,ATL,BOS,18.0,0
2198.0,72.0,2,659,JFK,BOS,21.0,0
1438.0,-14.0,3,771,ORD,SFO,14.0,0
1634.0,-17.0,1,1948,LAX,DEN,16.0,0
262.0,77.0,4,1241,DFW,MIA,2.0,0
1787.0,14.0,6,1735,DFW,SFO,17.0,1
2191.0,67.0,4,1503,LAX,SEA,21.0,0
2393.0,100.0,6,778,JFK,DEN,23.0,1
1016.0,77.0,1,539,ORD,SEA,10.0,0
880.0,8.0,1,1791,DFW,SEA,8.0,0
2049.0,-16.0,2,1032,ORD,SEA,20.0,0
1327.0,89.0,7,106,LAX,MIA,13.0,1
2301.0,-27.0,6,1319,JFK,BOS,23.0,1
452.0,62.0,7,520,LAX,DEN,4.0,1
1183.0,110.0,2,1691,ATL,BOS,11.0,0
2056.0,-15.0,2,932,DFW,BOS,20.0,0
1682.0,77.0,5,1316,ORD,SEA,16.0,0
2255.0,95.0,4,658,ATL,MIA,22.0,0
1154.0,24.0,4,1271,ORD,SFO,11.0,0
403.0,3.0,3,1910,JFK,MIA,4.0,0
2199.0,-18.0,2,1792,JFK,BOS,21.0,0
2101.0,110.0,6,1325,JFK,MIA,21.0,1
1696.0,-13.0,5,1567,ORD,SEA,16.0,0
627.0,65.0,5,1013,ATL,SFO,6.0,0
586.0,92.0,7,1542,JFK,SEA,5.0,1
1648.0,8.0,4,1550,ATL,SFO,16.0,0
1443.0,15.0,2,1106,ORD,BOS,14.0,0
1445.0,-2.0,3,1602,ATL,SFO,14.0,0
103.0,31.0,2,1598,ORD,SFO,1.0,0
253.0,-15.0,7,225,ORD,SFO,2.0,1
1496.0,90.0,1,494,DFW,MIA,14.0,0
98.0,-21.0,2,916,ORD,MIA,0.0,0
2200.0,72.0,7,980,ORD,BOS,22.0,1
1884.0,53.0,1,1929,LAX,SFO,18.0,0
1919.0,102.0,1,675,JFK,DEN,19.0,0
877.0,34.0,3,424,DFW,BOS,8.0,0
337.0,-28.0,6,1515,DFW,SFO,3.0,1
1704.0,89.0,2,1811,LAX,MIA,17.0,0
160.0,37.0,1,1751,ORD,BOS,1.0,0
1603.0,115.0,2,1563,JFK,SFO,16.0,0
397.0,6.0,6,1327,ATL,SFO,3.0,1
1300.0,42.0,4,1609,ORD,BOS,13.0,0
815.0,112.0,6,932,LAX,DEN,8.0,1
1527.0,18.0,4,1154,ORD,BOS,15.0,0
1919.0,90.0,5,1511,ORD,BOS,19.0,0
1415.0,57.0,4,1748,LAX,DEN,14.0,0
1158.0,109.0,3,1557,DFW,BOS,11.0,0
400.0,30.0,1,1025,JFK,BOS,4.0,0
639.0,93.0,5,1499,JFK,DEN,6.0,0
459.0,8.0,3,1467,DFW,SEA,4.0,0
954.0,32.0,2,542,ATL,BOS,9.0,0
469.0,15.0,6,1702,ORD,MIA,4.0,1
1045.0,57.0,7,174,ATL,SFO,10.0,1
1693.0,-20.0,7,656,ORD,SFO,16.0,1
2085.0,31.0,1,1895,DFW,MIA,20.0,0
2277.0,46.0,4,1789,JFK,MIA,22.0,0
562.0,21.0,1,1278,JFK,BOS,5.0,0
1799.0,-27.0,7,1553,ATL,MIA,17.0,1
2074.0,28.0,2,462,JFK,SEA,20.0,0
225.0,41.0,5,547,DFW,DEN,2.0,0
797.0,117.0,5,1357,ATL,MIA,7.0,0
2331.0,62.0,6,1686,ORD,MIA,23.0,1
959.0,32.0,5,1941,JFK,SEA,9.0,0
1504.0,23.0,6,361,LAX,SFO,15.0,1
452.0,86.0,6,1950,JFK,SFO,4.0,1
815.0,79.0,6,224,ORD,BOS,8.0,1
658.0,43.0,7,1010,ATL,SEA,6.0,1
546.0,76.0,7,344,ORD,DEN,5.0,1
1215.0,26.0,4,641,LAX,DEN,12.0,0
16.0,-28.0,3,584,DFW,SEA,0.0,0
1243.0,89.0,6,221,JFK,DEN,12.0,1
2205.0,-25.0,6,224,ATL,SFO,22.0,1
1069.0,-26.0,3,1672,DFW,DEN,10.0,0
2146.0,-26.0,1,269,ORD,DEN,21.0,0
1768.0,23.0,6,223,ATL,SEA,17.0,1
1060.0,16.0,4,1992,DFW,SEA,10.0,0
2327.0,-22.0,5,1158,ATL,DEN,23.0,0
301.0,68.0,5,1210,LAX,MIA,3.0,0
180.0,-11.0,2,745,LAX,SEA,1.0,0
606.0,91.0,2,1831,JFK,BOS,6.0,0
699.0,30.0,5,885,JFK,BOS,6.0,0
992.0,92.0,5,300,LAX,SFO,9.0,0
1139.0,51.0,7,468,ATL,DEN,11.0,1
190.0,31.0,4,896,LAX,MIA,1.0,0
980.0,-28.0,2,158,LAX,DEN,9.0,0
2006.0,-18.0,7,530,LAX,SEA,20.0,1
1184.0,89.0,7,737,ATL,BOS,11.0,1
127.0,94.0,3,1623,DFW,MIA,1.0,0
2065.0,58.0,7,208,JFK,BOS,20.0,1
1816.0,42.0,4,1859,ATL,SEA,18.0,0
1758.0,37.0,5,1107,LAX,DEN,17.0,0
569.0,111.0,6,1401,LAX,SEA,5.0,1
1346.0,70.0,3,167,DFW,SEA,13.0,0
1895.0,67.0,5,1192,JFK,BOS,18.0,0
625.0,-20.0,5,1288,JFK,MIA,6.0,0
1686.0,74.0,1,1612,ORD,SEA,16.0,0
154.0,36.0,3,404,JFK,BOS,1.0,0
1409.0,92.0,7,773,DFW,MIA,14.0,1
784.0,-2.0,6,464,ORD,DEN,7.0,1
245.0,106.0,3,1977,ORD,DEN,2.0,0
1705.0,-22.0,5,1502,LAX,BOS,17.0,0
537.0,9.0,6,442,JFK,MIA,5.0,1
1890.0,-6.0,7,1046,ORD,SEA,18.0,1
1841.0,-26.0,4,998,LAX,DEN,18.0,0
524.0,93.0,1,1477,LAX,BOS,5.0,0
1529.0,7.0,5,1539,LAX,SFO,15.0,0
35.0,41.0,7,1232,ORD,DEN,0.0,1
684.0,102.0,2,1686,ORD,MIA,6.0,0
19.0,59.0,2,861,ATL,MIA,0.0,0
2368.0,115.0,1,1620,DFW,MIA,23.0,0
399.0,6.0,4,440,ORD,BOS,3.0,0
971.0,29.0,5,1041,JFK,BOS,9.0,0
1166.0,50.0,1,1103,DFW,SEA,11.0,0
1115.0,83.0,4,1656,ORD,MIA,11.0,0
833.0,9.0,3,399,DFW,DEN,8.0,0
1823.0,14.0,2,238,ORD,BOS,18.0,0
1982.0,31.0,2,458,LAX,BOS,19.0,0
853.0,62.0,3,935,ATL,MIA,8.0,0
50.0,84.0,1,1622,LAX,BOS,0.0,0
574.0,36.0,2,1508,ORD,SEA,5.0,0
1148.0,25.0,5,1727,ORD,SEA,11.0,0
2197.0,9.0,6,1403,LAX,BOS,21.0,1
2361.0,67.0,7,1760,JFK,MIA,23.0,1
2352.0,9.0,3,582,JFK,MIA,23.0,0
1715.0,60.0,3,1008,JFK,MIA,17.0,0
837.0,-25.0,1,965,DFW,BOS,8.0,0
1077.0,116.0,5,238,ORD,MIA,10.0,0
2311.0,49.0,1,1095,DFW,SEA,23.0,0
4.0,66.0,4,608,ATL,DEN,0.0,0
1219.0,28.0,2,1222,JFK,DEN,12.0,0
773.0,17.0,2,1887,ORD,DEN,7.0,0
876.0,-18.0,2,1973,LAX,SFO,8.0,0
991.0,76.0,6,203,JFK,SEA,9.0,1
46.0,14.0,4,1337,LAX,SEA,0.0,0
268.0,58.0,1,1884,ATL,SFO,2.0,0
369.0,69.0,6,1787,ORD,SFO,3.0,1
1129.0,102.0,1,886,ATL,BOS,11.0,0
1693.0,14.0,2,264,ORD,DEN,16.0,0
1682.0,27.0,5,1098,DFW,SFO,16.0,0
656.0,0.0,1,1976,LAX,SEA,6.0,0
119.0,-8.0,4,619,JFK,DEN,1.0,0
830.0,107.0,3,1407,ATL,BOS,8.0,0
1810.0,76.0,3,616,DFW,DEN,18.0,0
1081.0,8.0,7,756,JFK,MIA,10.0,1
1974.0,51.0,7,712,JFK,DEN,19.0,1
1369.0,69.0,6,263,ATL,SFO,13.0,1
740.0,-29.0,3,1782,DFW,SEA,7.0,0
116.0,46.0,5,163,JFK,SEA,1.0,0
1853.0,-19.0,2,1214,JFK,SFO,18.0,0
1150.0,8.0,4,1240,DFW,MIA,11.0,0
1931.0,-18.0,7,1989,ORD,SFO,19.0,1
1012.0,15.0,5,366,JFK,DEN,10.0,0
1664.0,82.0,4,1945,LAX,SFO,16.0,0
1081.0,-14.0,4,1808,DFW,SFO,10.0,0
633.0,73.0,2,1682,JFK,MIA,6.0,0
512.0,67.0,6,1263,ATL,DEN,5.0,1
1119.0,57.0,3,345,LAX,BOS,11.0,0
1141.0,78.0,2,1784,JFK,BOS,11.0,0
559.0,39.0,5,1881,LAX,SEA,5.0,0
487.0,43.0,6,494,LAX,SFO,4.0,1
896.0,32.0,5,1610,ORD,SEA,8.0,0
1212.0,29.0,6,575,LAX,MIA,12.0,1
703.0,48.0,7,1640,ORD,BOS,7.0,1
580.0,-9.0,2,1307,ORD,MIA,5.0,0
2294.0,117.0,6,1143,ATL,MIA,22.0,1
153.0,65.0,6,657,JFK,SFO,1.0,1
1679.0,37.0,4,1117,DFW,MIA,16.0,0
996.0,-14.0,4,1647,DFW,SFO,9.0,0
1243.0,-19.0,1,1705,ATL,SFO,12.0,0
1092.0,119.0,5,1652,ORD,DEN,10.0,0
1008.0,114.0,4,982,JFK,SEA,10.0,0
2141.0,107.0,1,246,ORD,MIA,21.0,0
1773.0,87.0,7,765,LAX,MIA,17.0,1
957.0,-9.0,7,1427,ORD,DEN,9.0,1
452.0,89.0,4,719,DFW,DEN,4.0,0
1227.0,19.0,5,1871,JFK,DEN,12.0,0
2265.0,-17.0,6,919,ORD,BOS,22.0,1
2388.0,-2.0,3,963,JFK,BOS,23.0,0
550.0,94.0,5,681,JFK,BOS,5.0,0
1635.0,-24.0,2,1122,LAX,SFO,16.0,0
1312.0,-2.0,7,794,LAX,MIA,13.0,1
1757.0,108.0,4,1885,DFW,SEA,17.0,0
356.0,2.0,4,1351,ATL,SFO,3.0,0
2070.0,103.0,6,1225,JFK,MIA,20.0,1
1785.0,80.0,2,1710,ATL,MIA,17.0,0
1781.0,48.0,6,1540,DFW,DEN,17.0,1
1631.0,27.0,2,1339,JFK,DEN,16.0,0
1015.0,-5.0,3,506,JFK,SFO,10.0,0
515.0,-27.0,4,814,ORD,MIA,5.0,0
335.0,68.0,4,803,LAX,DEN,3.0,0
1782.0,110.0,3,860,ORD,BOS,17.0,0
2305.0,8.0,1,598,ATL,DEN,23.0,0
895.0,88.0,6,1588,ORD,SFO,8.0,1
2207.0,-2.0,3,1814,LAX,SEA,22.0,0
851.0,44.0,6,1073,JFK,DEN,8.0,1
1687.0,85.0,5,1854,ORD,MIA,16.0,0
1931.0,1.0,4,181,LAX,SEA,19.0,0
1568.0,99.0,6,703,LAX,SEA,15.0,1
956.0,53.0,2,1810,LAX,BOS,9.0,0
1636.0,-9.0,6,1874,ORD,SEA,16.0,1
1291.0,-4.0,5,871,DFW,MIA,12.0,0
1440.0,50.0,7,1002,ORD,MIA,14.0,1
1191.0,95.0,4,464,ATL,DEN,11.0,0
1066.0,61.0,3,262,ORD,DEN,10.0,0
284.0,-10.0,5,1171,LAX,DEN,2.0,0
753.0,53.0,7,1963,ORD,BOS,7.0,1
2082.0,-25.0,1,215,LAX,DEN,20.0,0
89.0,116.0,7,1040,JFK,SFO,0.0,1
1625.0,-30.0,2,436,ATL,SFO,16.0,0
417.0,27.0,7,980,ORD,SEA,4.0,1
114.0,93.0,4,836,JFK,BOS,1.0,0
616.0,-16.0,1,1987,JFK,BOS,6.0,0
825.0,33.0,3,939,DFW,MIA,8.0,0
1649.0,-6.0,4,246,DFW,SEA,16.0,0
1516.0,-7.0,3,1698,JFK,SEA,15.0,0
412.0,-19.0,7,1929,ATL,BOS,4.0,1
728.0,-13.0,3,1446,JFK,SEA,7.0,0
675.0,-16.0,1,542,LAX,BOS,6.0,0
1892.0,-4.0,4,936,ORD,MIA,18.0,0
2239.0,41.0,6,1136,ATL,BOS,22.0,1
1122.0,29.0,5,1042,LAX,SEA,11.0,0
1571.0,114.0,1,1617,ATL,SEA,15.0,0
977.0,62.0,1,1824,LAX,BOS,9.0,0
1008.0,22.0,6,386,ORD,BOS,10.0,1
2143.0,-23.0,4,819,ORD,BOS,21.0,0
1687.0,48.0,4,1237,DFW,DEN,16.0,0
36.0,-4.0,7,579,LAX,SEA,0.0,1
1548.0,19.0,3,121,DFW,SEA,15.0,0
2326.0,100.0,7,1472,LAX,DEN,23.0,1
2264.0,62.0,6,1849,DFW,BOS,22.0,1
872.0,-7.0,7,782,ORD,MIA,8.0,1
1821.0,29.0,6,1958,ATL,BOS,18.0,1
1296.0,91.0,4,1689,DFW,BOS,12.0,0
595.0,117.0,7,1933,LAX,SEA,5.0,1
1903.0,15.0,1,419,ORD,BOS,19.0,0
728.0,-16.0,2,225,LAX,SEA,7.0,0
1365.0,-14.0,5,376,JFK,SFO,13.0,0
396.0,95.0,1,1327,ATL,SEA,3.0,0
698.0,53.0,4,293,DFW,MIA,6.0,0
2224.0,-22.0,5,1804,ATL,MIA,22.0,0
1635.0,32.0,2,1787,ORD,BOS,16.0,0
395.0,86.0,2,1670,DFW,SEA,3.0,0
75.0,99.0,3,795,DFW,BOS,0.0,0
264.0,57.0,5,1409,JFK,DEN,2.0,0
717.0,108.0,1,1857,LAX,BOS,7.0,0
850.0,33.0,6,1426,JFK,DEN,8.0,1
1390.0,41.0,6,1286,JFK,BOS,13.0,1
143.0,-10.0,6,118,ATL,SEA,1.0,1
884.0,-13.0,5,1493,ATL,SEA,8.0,0
395.0,33.0,6,363,ATL,SEA,3.0,1
1492.0,51.0,1,893,JFK,SEA,14.0,0
1167.0,79.0,3,212,LAX,SFO,11.0,0
1062.0,64.0,5,1611,DFW,DEN,10.0,0
2156.0,1.0,3,1450,ATL,DEN,21.0,0
1065.0,-20.0,5,641,LAX,SEA,10.0,0
1209.0,14.0,3,746,ORD,SFO,12.0,0
633.0,2.0,2,678,ATL,SEA,6.0,0
1156.0,71.0,3,1188,DFW,SFO,11.0,0
1238.0,105.0,6,1415,ORD,SEA,12.0,1
732.0,-20.0,2,124,ORD,MIA,7.0,0
234.0,57.0,3,1672,DFW,MIA,2.0,0
750.0,10.0,5,100,ATL,BOS,7.0,0
953.0,114.0,5,1010,JFK,SEA,9.0,0
1542.0,45.0,5,1672,DFW,DEN,15.0,0
1197.0,90.0,4,240,DFW,BOS,11.0,0
1676.0,15.0,1,1867,DFW,MIA,16.0,0
1191.0,49.0,5,747,ORD,SEA,11.0,0
1416.0,55.0,5,1251,JFK,SEA,14.0,0
1217.0,61.0,4,300,ATL,MIA,12.0,0
1540.0,117.0,6,1250,ATL,BOS,15.0,1
